|                  passKey                  |        option         |
| pass_dce                                  | -fgcse-las            |
| pass_dce                                  | -fgcse-lm             |
| pass_dce                                  | -finline-functions    |
| pass_dce                                  | -ftree-loop-vectorize |
| pass_copy_prop                            | -fgcse                |
| pass_copy_prop                            | -fgcse-las            |
| pass_copy_prop                            | -fgcse-lm             |
| pass_copy_prop                            | -finline-functions    |
| pass_copy_prop                            | -ftree-loop-vectorize |
| pass_fold_builtins                        | -fgcse                |
| pass_fold_builtins                        | -fgcse-las            |
| pass_fold_builtins                        | -fgcse-lm             |
| pass_fold_builtins                        | -finline-functions    |
| pass_fold_builtins                        | -ftree-loop-vectorize |
| pass_object_sizes                         | -fgcse                |
| pass_object_sizes                         | -fgcse-las            |
| pass_object_sizes                         | -fgcse-lm             |
| pass_object_sizes                         | -finline-functions    |
| pass_object_sizes                         | -ftree-loop-vectorize |
| pass_ccp                                  | -fgcse                |
| pass_ccp                                  | -fgcse-las            |
| pass_ccp                                  | -fgcse-lm             |
| pass_ccp                                  | -finline-functions    |
| pass_ccp                                  | -ftree-loop-vectorize |
| pass_lower_vector_ssa                     | -fgcse                |
| pass_lower_vector_ssa                     | -fgcse-las            |
| pass_lower_vector_ssa                     | -fgcse-lm             |
| pass_lower_vector_ssa                     | -finline-functions    |
| pass_lower_vector_ssa                     | -ftree-loop-vectorize |
| pass_lower_complex                        | -fgcse                |
| pass_lower_complex                        | -fgcse-las            |
| pass_lower_complex                        | -fgcse-lm             |
| pass_lower_complex                        | -finline-functions    |
| pass_lower_complex                        | -ftree-loop-vectorize |
| pass_strip_predict_hints                  | -fgcse                |
| pass_strip_predict_hints                  | -fgcse-las            |
| pass_strip_predict_hints                  | -fgcse-lm             |
| pass_strip_predict_hints                  | -finline-functions    |
| pass_strip_predict_hints                  | -ftree-loop-vectorize |
| pass_tail_calls                           | -fgcse                |
| pass_tail_calls                           | -fgcse-las            |
| pass_tail_calls                           | -fgcse-lm             |
| pass_tail_calls                           | -finline-functions    |
| pass_tail_calls                           | -ftree-loop-vectorize |
