"-fpcc-struct-return","flag_pcc_struct_return","x_flag_pcc_struct_return"
"-fpeel-loops","flag_peel_loops","x_flag_peel_loops"
"-fpeephole2","flag_peephole2","x_flag_peephole2"
"-fpermissive","flag_permissive","x_flag_permissive"
"-fplan9-extensions","flag_plan9_extensions","x_flag_plan9_extensions"
"-fplt","flag_plt","x_flag_plt"
"-fpostconditions","flag_postconditions","x_flag_postconditions"
"-fpreconditions","flag_preconditions","x_flag_preconditions"
"-fpredictive-commoning","flag_predictive_commoning","x_flag_predictive_commoning"
"-fprefetch-loop-arrays","flag_prefetch_loop_arrays","x_flag_prefetch_loop_arrays"
"-fpretty-templates","flag_pretty_templates","x_flag_pretty_templates"
"-fprintf-return-value","flag_printf_return_value","x_flag_printf_return_value"
"-fprofile-correction","flag_profile_correction","x_flag_profile_correction"
"-fprofile-reorder-functions","flag_profile_reorder_functions","x_flag_profile_reorder_functions"
"-fprofile-use","flag_profile_use","x_flag_profile_use"
"-fprofile-values","flag_profile_values","x_flag_profile_values"
"-fprotect-parens","flag_protect_parens","x_flag_protect_parens"
"-frange-check","flag_range_check","x_flag_range_check"
"-frealloc-lhs","flag_realloc_lhs","x_flag_realloc_lhs"
"-freciprocal-math","flag_reciprocal_math","x_flag_reciprocal_math"
"-frecord-gcc-switches","flag_record_gcc_switches","x_flag_record_gcc_switches"
"-frecursive","flag_recursive","x_flag_recursive"
"-free","flag_ree","x_flag_ree"
"-frename-registers","flag_rename_registers","x_flag_rename_registers"
"-freorder-blocks","flag_reorder_blocks","x_flag_reorder_blocks"
"-freorder-blocks-and-partition","flag_reorder_blocks_and_partition","x_flag_reorder_blocks_and_partition"
"-freorder-functions","flag_reorder_functions","x_flag_reorder_functions"
"-frepack-arrays","flag_repack_arrays","x_flag_repack_arrays"
"-freplace-objc-classes","flag_replace_objc_classes","x_flag_replace_objc_classes"
"-freport-bug","flag_report_bug","x_flag_report_bug"
"-frerun-cse-after-loop","flag_rerun_cse_after_loop","x_flag_rerun_cse_after_loop"
"-frounding-math","flag_rounding_math","x_flag_rounding_math"
"-frtti","flag_rtti","x_flag_rtti"
"-fsanitize-address-use-after-scope","flag_sanitize_address_use_after_scope","x_flag_sanitize_address_use_after_scope"
"-fsanitize-recover","flag_sanitize_recover","x_flag_sanitize_recover"
"-fsanitize-undefined-trap-on-error","flag_sanitize_undefined_trap_on_error","x_flag_sanitize_undefined_trap_on_error"
"-fsave-optimization-record","flag_save_optimization_record","x_flag_save_optimization_record"
"-fsched-critical-path-heuristic","flag_sched_critical_path_heuristic","x_flag_sched_critical_path_heuristic"
"-fsched-dep-count-heuristic","flag_sched_dep_count_heuristic","x_flag_sched_dep_count_heuristic"
"-fsched-group-heuristic","flag_sched_group_heuristic","x_flag_sched_group_heuristic"
"-fsched-last-insn-heuristic","flag_sched_last_insn_heuristic","x_flag_sched_last_insn_heuristic"
"-fsched-pressure","flag_sched_pressure","x_flag_sched_pressure"
"-fsched-rank-heuristic","flag_sched_rank_heuristic","x_flag_sched_rank_heuristic"
"-fsched-spec-insn-heuristic","flag_sched_spec_insn_heuristic","x_flag_sched_spec_insn_heuristic"
"-fsched-stalled-insns","flag_sched_stalled_insns","x_flag_sched_stalled_insns"
"-fsched-stalled-insns-dep","flag_sched_stalled_insns_dep","x_flag_sched_stalled_insns_dep"
"-fsched2-use-superblocks","flag_sched2_use_superblocks","x_flag_sched2_use_superblocks"
"-fschedule-fusion","flag_schedule_fusion","x_flag_schedule_fusion"
"-fschedule-insns","flag_schedule_insns","x_flag_schedule_insns"
"-fsecond-underscore","flag_second_underscore","x_flag_second_underscore"
"-fsel-sched-pipelining","flag_sel_sched_pipelining","x_flag_sel_sched_pipelining"
"-fsel-sched-pipelining-outer-loops","flag_sel_sched_pipelining_outer_loops","x_flag_sel_sched_pipelining_outer_loops"
"-fsel-sched-reschedule-pipelined","flag_sel_sched_reschedule_pipelined","x_flag_sel_sched_reschedule_pipelined"
"-fselective-scheduling","flag_selective_scheduling","x_flag_selective_scheduling"
"-fselective-scheduling2","flag_selective_scheduling2","x_flag_selective_scheduling2"
"-fsemantic-interposition","flag_semantic_interposition","x_flag_semantic_interposition"
"-fshort-enums","flag_short_enums","x_flag_short_enums"
"-fshort-wchar","flag_short_wchar","x_flag_short_wchar"
"-fshow-column","flag_show_column","x_flag_show_column"
"-fshrink-wrap","flag_shrink_wrap","x_flag_shrink_wrap"
"-fshrink-wrap-separate","flag_shrink_wrap_separate","x_flag_shrink_wrap_separate"
"-fsign-zero","flag_sign_zero","x_flag_sign_zero"
"-fsignaling-nans","flag_signaling_nans","x_flag_signaling_nans"
"-fsigned-bitfields","flag_signed_bitfields","x_flag_signed_bitfields"
"-fsigned-char","flag_signed_char","x_flag_signed_char"
"-fsigned-zeros","flag_signed_zeros","x_flag_signed_zeros"
"-fsingle-precision-constant","flag_single_precision_constant","x_flag_single_precision_constant"
"-fsized-deallocation","flag_sized_deallocation","x_flag_sized_deallocation"
"-fsplit-ivs-in-unroller","flag_split_ivs_in_unroller","x_flag_split_ivs_in_unroller"
"-fsplit-loops","flag_split_loops","x_flag_split_loops"
"-fsplit-paths","flag_split_paths","x_flag_split_paths"
"-fsplit-wide-types","flag_split_wide_types","x_flag_split_wide_types"
"-fssa-backprop","flag_ssa_backprop","x_flag_ssa_backprop"
"-fssa-phiopt","flag_ssa_phiopt","x_flag_ssa_phiopt"
"-fstack-arrays","flag_stack_arrays","x_flag_stack_arrays"
"-fstack-check","flag_stack_check","x_flag_stack_check"
"-fstack-clash-protection","flag_stack_clash_protection","x_flag_stack_clash_protection"
"-fstack-usage","flag_stack_usage","x_flag_stack_usage"
"-fstdarg-opt","flag_stdarg_opt","x_flag_stdarg_opt"
"-fstore-merging","flag_store_merging","x_flag_store_merging"
"-fstrict-aliasing","flag_strict_aliasing","x_flag_strict_aliasing"
"-fstrict-enums","flag_strict_enums","x_flag_strict_enums"
"-fstrict-volatile-bitfields","flag_strict_volatile_bitfields","x_flag_strict_volatile_bitfields"
"-fstrong-eval-order","flag_strong_eval_order","x_flag_strong_eval_order"
"-fswitch-errors","flag_switch_errors","x_flag_switch_errors"
"-fsync-libcalls","flag_sync_libcalls","x_flag_sync_libcalls"
"-fsyntax-only","flag_syntax_only","x_flag_syntax_only"
"-ftail-call-workaround","flag_tail_call_workaround","x_flag_tail_call_workaround"
"-ftest-coverage","flag_test_coverage","x_flag_test_coverage"
"-ftest-forall-temp","flag_test_forall_temp","x_flag_test_forall_temp"
"-fthread-jumps","flag_thread_jumps","x_flag_thread_jumps"
"-fthreadsafe-statics","flag_threadsafe_statics","x_flag_threadsafe_statics"
"-ftoplevel-reorder","flag_toplevel_reorder","x_flag_toplevel_reorder"
"-ftracer","flag_tracer","x_flag_tracer"
"-ftrampolines","flag_trampolines","x_flag_trampolines"
"-ftrapping-math","flag_trapping_math","x_flag_trapping_math"
